index,moves,overall_moves
0,1,8
1,1,29
2,1,29
3,1,48
4,1,31
5,1,23
6,1,26
7,1,58
8,1,25
9,1,39
10,1,35
11,1,25
12,1,5
13,1,15
14,1,27
15,1,6
16,1,46
17,1,23
18,1,23
19,1,28
20,1,37
21,1,25
22,1,59
23,2,24
24,1,19
25,1,63
26,1,58
27,2,42
28,1,17
29,1,67
30,2,1
31,1,16
32,1,55
33,1,62
34,1,12
35,1,48
36,1,47
37,1,55
38,1,23
39,1,24
40,1,17
41,1,10
42,1,20
43,1,66
44,2,22
45,1,74
46,1,55
47,1,49
48,1,13
49,1,25
50,1,33
51,1,46
52,1,8
53,1,29
54,1,16
55,1,10
56,1,30
57,1,5
58,1,16
59,1,6
60,1,7
61,1,21
62,2,69
63,1,38
64,1,57
65,1,19
66,1,64
67,1,45
68,1,48
69,1,19
70,2,24
71,1,23
72,1,21
73,1,47
74,1,48
75,1,51
76,1,38
77,1,38
78,1,9
79,1,4
80,1,25
81,1,24
82,1,25
83,1,48
84,1,37
85,1,25
86,1,25
87,1,39
88,1,47
89,1,23
90,1,59
91,1,38
92,3,22
93,1,66
94,1,45
95,1,9
96,1,44
97,1,16
98,1,43
99,1,31
100,1,48
101,1,38
102,1,38
103,1,19
104,1,74
105,1,24
106,1,45
107,1,65
108,1,58
109,2,47
110,1,73
111,1,19
112,1,36
113,1,8
114,1,54
115,1,49
116,1,24
117,1,16
118,1,4
119,1,59
120,1,49
121,1,17
122,1,31
123,1,54
124,1,1
125,1,49
126,1,19
127,1,14
128,1,42
129,1,60
130,1,46
131,1,56
132,1,22
133,1,25
134,1,18
135,1,56
136,1,38
137,1,51
138,1,63
139,1,70
140,1,53
141,1,12
142,1,55
143,2,52
144,1,23
145,1,45
146,1,26
147,1,33
148,1,23
149,1,63
150,1,34
151,1,5
152,1,9
153,1,10
154,1,7
155,1,11
156,1,14
157,1,11
158,1,13
159,1,65
160,8,0
161,2,31
162,1,26
163,1,49
164,1,24
165,1,62
166,1,47
167,1,48
168,1,23
169,1,16
170,1,37
171,1,5
172,1,20
173,1,21
174,1,27
175,1,58
176,1,61
177,1,39
178,1,8
179,1,36
180,1,38
181,1,21
182,1,55
183,1,38
184,1,54
185,1,20
186,1,51
187,1,28
188,1,30
189,1,25
190,1,58
191,3,50
192,1,26
193,1,29
194,3,23
195,1,59
196,1,17
197,1,29
198,1,47
199,1,48
200,1,14
201,1,6
202,1,54
203,1,48
204,1,40
205,1,21
206,1,39
207,2,58
208,1,24
209,1,25
210,1,5
211,2,47
212,1,38
213,1,53
214,1,44
215,2,28
216,1,10
217,1,25
218,2,54
219,1,21
220,1,5
221,1,56
222,1,21
223,1,8
224,1,41
225,1,62
226,1,12
227,1,22
228,1,53
229,1,48
230,1,54
231,1,37
232,1,19
233,1,37
234,2,67
235,1,14
236,1,46
237,1,13
238,1,33
239,1,10
240,1,64
241,1,21
242,1,50
243,1,23
244,1,25
245,1,58
246,1,21
247,1,10
248,1,35
249,1,24
250,1,45
251,1,22
252,1,21
253,1,10
254,1,66
255,1,25
256,1,49
257,1,56
258,1,55
259,1,60
260,1,12
261,1,39
262,1,17
263,1,4
264,1,23
265,1,17
266,1,39
267,1,13
268,1,33
269,1,50
270,1,14
271,1,12
272,1,33
273,1,39
274,1,18
