index,moves,overall_moves
0,2,67
1,445,0
2,1,399
3,1,664
4,3,468
5,385,0
6,3,419
7,1,811
8,442,0
9,1,518
10,1,478
11,3,349
12,2,54
13,179,0
14,1,432
15,2,44
16,1,659
17,314,0
18,1,309
19,1,355
20,1,534
21,272,0
22,825,0
23,2,374
24,283,0
25,1,870
26,1,748
27,2,624
28,210,0
29,4,914
30,7,0
31,2,185
32,1,771
33,872,0
34,2,120
35,2,697
36,1,664
37,1,765
38,331,0
39,376,0
40,6,200
41,147,0
42,1,250
43,3,881
44,326,0
45,1,966
46,2,792
47,1,663
48,1,132
49,1,415
50,1,492
51,1,623
52,1,86
53,3,434
54,2,219
55,125,0
56,2,472
57,82,0
58,2,211
59,2,96
60,1,75
61,260,0
62,931,0
63,1,541
64,4,783
65,224,0
66,2,844
67,2,629
68,1,692
69,1,246
70,2,403
71,1,298
72,2,255
73,3,702
74,1,702
75,1,716
76,535,0
77,1,523
78,109,0
79,2,23
80,1,267
81,1,373
82,1,442
83,2,627
84,565,0
85,3,351
86,1,388
87,1,547
88,1,647
89,1,249
90,1,833
91,508,0
92,2,382
93,924,0
94,1,666
95,8,105
96,1,585
97,1,209
98,1,595
99,1,477
100,1,698
101,566,0
102,2,502
103,2,219
104,3,954
105,418,0
106,1,625
107,1,886
108,2,846
109,1,679
110,1,968
111,5,281
112,528,0
113,75,0
114,1,776
115,1,640
116,1,417
117,1,174
118,1,34
119,812,0
120,635,0
121,1,239
122,1,449
123,719,0
124,3,6
125,6,678
126,1,214
127,6,110
128,1,588
129,1,837
130,1,648
131,807,0
132,1,259
133,4,351
134,1,193
135,3,783
136,577,0
137,2,643
138,880,0
139,942,0
140,743,0
141,2,130
142,2,733
143,1,771
144,2,295
145,1,623
146,1,355
147,2,499
148,1,346
149,1,882
150,1,477
151,1,92
152,2,141
153,1,122
154,1,45
155,1,105
156,2,131
157,1,110
158,171,0
159,1,868
160,1,135
161,1,409
162,2,404
163,698,0
164,1,300
165,7,881
166,1,626
167,2,701
168,1,311
169,3,215
170,522,0
171,1,19
172,232,0
173,1,258
174,1,411
175,1,847
176,842,0
177,514,0
178,77,0
179,1,546
180,518,0
181,1,252
182,3,788
183,6,535
184,1,776
185,1,286
186,687,0
187,1,445
188,1,460
189,3,440
190,1,858
191,734,0
192,1,423
193,1,463
194,1,343
195,832,0
196,1,213
197,380,0
198,1,661
199,1,707
200,1,190
201,2,94
202,2,730
203,674,0
204,592,0
205,1,280
206,1,545
207,1,826
208,1,347
209,1,422
210,92,0
211,1,683
212,1,535
213,761,0
214,2,619
215,2,461
216,1,120
217,1,374
218,1,741
219,193,0
220,22,0
221,3,819
222,1,237
223,1,113
224,1,580
225,1,875
226,1,181
227,1,309
228,1,758
229,4,678
230,1,807
