index,moves,overall_moves
0,1,142
1,1,856
2,3,757
3,1315,0
4,1,915
5,3,731
6,8,792
7,1,1585
8,1,851
9,2,1008
10,928,0
11,1,646
12,3,109
13,352,0
14,819,0
15,1,92
16,1,1302
17,1,583
18,574,0
19,663,0
20,1035,0
21,509,0
22,1,1601
23,711,0
24,531,0
25,1693,0
26,5,1475
27,2,1229
28,2,405
29,1797,0
30,17,0
31,364,0
32,1,1518
33,1700,0
34,2,246
35,1384,0
36,2,1314
37,2,1509
38,4,609
39,716,0
40,1,395
41,3,297
42,1,472
43,1724,0
44,2,605
45,1,1886
46,1,1555
47,1314,0
48,3,265
49,781,0
50,5,959
51,2,1216
52,161,0
53,834,0
54,3,424
55,252,0
56,1,921
57,1,155
58,5,405
59,182,0
60,1,149
61,1,487
62,1828,0
63,1057,0
64,1546,0
65,430,0
66,1628,0
67,1234,0
68,1371,0
69,467,0
70,761,0
71,560,0
72,484,0
73,1,1390
74,1395,0
75,3,1408
76,1038,0
77,1016,0
78,206,0
79,51,0
80,1,501
81,2,707
82,2,851
83,1222,0
84,3,1100
85,1,652
86,737,0
87,1074,0
88,1279,0
89,7,468
90,1613,0
91,995,0
92,727,0
93,2,1814
94,1322,0
95,2,203
96,2,1134
97,1,404
98,1155,0
99,936,0
100,1380,0
101,1102,0
102,980,0
103,3,423
104,4,1867
105,1,792
106,1229,0
107,2,1726
108,1634,0
109,1341,0
110,1889,0
111,530,0
112,3,1022
113,3,149
114,1,1524
115,1252,0
116,792,0
117,1,345
118,69,0
119,1588,0
120,1,1246
121,450,0
122,864,0
123,2,1416
124,13,0
125,1350,0
126,1,414
127,1,212
128,1143,0
129,1618,0
130,1,1284
131,3,1580
132,486,0
133,2,652
134,384,0
135,1,1545
136,1120,0
137,1271,0
138,1,1718
139,1848,0
140,1468,0
141,265,0
142,1443,0
143,1517,0
144,556,0
145,4,1215
146,653,0
147,3,971
148,2,638
149,1,1731
150,3,939
151,172,0
152,290,0
153,3,246
154,97,0
155,198,0
156,266,0
157,1,208
