index,moves,overall_moves
0,3,19
1,1,97
2,1,82
3,1,148
4,1,103
5,2,85
6,1,92
7,4,186
8,5,92
9,1,120
10,1,102
11,1,73
12,1,16
13,1,37
14,2,92
15,1,12
16,1,157
17,1,61
18,1,61
19,1,77
20,1,126
21,1,54
22,1,192
23,1,77
24,1,61
25,3,205
26,1,174
27,1,148
28,1,43
29,218,0
30,2,4
31,2,39
32,1,176
33,1,207
34,1,31
35,1,157
36,1,149
37,1,173
38,2,66
39,1,77
40,1,41
41,30,0
42,12,47
43,1,209
44,1,64
45,1,231
46,1,184
47,1,149
48,5,25
49,1,89
50,1,114
51,1,144
52,14,0
53,1,94
54,1,44
55,1,26
56,1,104
57,1,14
58,2,45
59,2,18
60,1,14
61,1,49
62,1,220
63,1,130
64,1,180
65,1,50
66,1,199
67,1,147
68,1,157
69,1,56
70,1,82
71,1,57
72,1,49
73,1,160
74,1,160
75,1,165
76,1,126
77,1,121
78,2,20
79,1,5
80,1,53
81,1,77
82,1,97
83,1,147
84,131,0
85,1,72
86,1,80
87,1,132
88,1,152
89,11,47
90,1,194
91,1,117
92,1,79
93,1,223
94,1,148
95,5,18
96,1,135
97,1,42
98,1,140
99,1,105
100,2,157
101,1,131
102,1,117
103,44,0
104,1,228
105,1,91
106,1,146
107,3,209
108,1,200
109,1,153
110,1,232
111,1,60
112,1,123
113,1,12
114,1,174
115,146,0
116,1,90
117,1,35
118,1,7
119,1,187
120,1,150
121,1,49
122,1,97
123,1,163
124,2,3
125,1,155
126,1,44
127,1,21
128,1,136
129,1,194
130,1,154
131,3,186
132,1,49
133,1,73
134,1,40
135,1,180
136,1,134
137,1,151
138,2,207
139,2,224
140,1,172
141,3,25
142,1,166
143,1,175
144,1,60
145,1,145
146,1,73
147,1,115
148,1,71
149,1,211
150,1,106
151,4,16
152,28,0
153,3,29
154,1,10
155,2,18
156,1,30
157,1,22
158,1,35
159,1,210
160,1,32
161,1,84
162,1,83
163,1,157
164,1,58
165,1,211
166,1,147
167,1,158
168,58,0
169,1,42
170,1,120
171,1,11
172,1,50
173,1,49
174,85,0
175,1,202
176,1,198
177,1,119
178,1,13
179,3,127
180,1,119
181,14,47
182,1,183
183,1,124
184,1,174
185,1,62
186,1,158
187,1,97
188,1,97
189,1,97
190,1,203
191,1,168
192,1,91
193,1,98
194,2,70
195,1,193
196,1,44
197,1,79
198,7,146
199,1,163
200,1,39
201,1,18
202,2,165
203,1,152
204,2,136
205,1,59
206,1,129
207,1,191
208,1,71
209,1,92
210,1,20
211,1,154
212,1,127
213,1,173
214,1,144
215,1,101
216,1,23
217,1,78
218,1,168
219,2,40
220,1,3
221,188,0
222,1,51
223,1,26
224,1,134
225,1,209
226,1,39
227,1,60
228,3,176
229,1,155
230,1,190
231,4,127
232,1,47
233,1,130
234,1,220
235,1,40
236,1,147
237,1,39
238,1,113
239,1,22
240,1,208
241,1,67
242,2,148
243,1,76
244,1,79
245,2,176
246,1,59
247,1,23
248,1,123
249,1,65
250,2,138
251,1,57
252,10,47
253,2,27
254,1,218
255,1,75
256,2,147
257,1,179
258,2,174
259,1,192
260,1,35
261,1,130
262,2,40
263,1,10
264,62,0
265,1,45
266,1,129
267,1,33
268,107,0
269,1,164
270,1,38
271,1,24
272,1,97
273,1,118
274,1,53
275,1,111
276,2,91
277,2,64
278,1,183
279,1,163
280,1,90
281,1,77
282,1,214
283,1,29
284,1,16
285,1,9
286,37,0
287,2,221
288,2,151
289,1,136
290,1,35
291,1,140
292,1,2
293,1,98
294,2,149
295,1,208
296,1,51
297,1,225
298,1,76
299,1,203
300,1,158
301,1,104
302,1,42
303,1,59
304,1,226
305,1,127
306,1,85
307,1,131
308,1,97
309,1,55
310,1,168
311,1,169
312,1,5
313,1,231
314,2,76
315,1,185
316,1,148
317,1,214
318,1,226
319,1,60
320,2,69
321,1,7
322,2,106
323,2,95
324,1,48
325,1,142
326,1,142
327,4,10
328,1,155
329,1,194
330,1,24
331,5,10
332,1,60
333,2,176
334,1,189
335,1,35
336,2,40
337,1,61
338,1,210
339,1,144
340,1,153
341,1,74
342,1,100
343,1,102
344,1,95
345,1,222
346,1,204
347,1,173
348,1,167
349,1,12
350,1,192
351,1,219
352,1,113
353,1,228
354,1,13
355,1,127
356,1,64
357,1,25
358,1,52
359,1,83
360,2,72
361,1,73
362,1,196
363,1,4
364,1,144
365,1,154
366,1,220
367,1,31
368,1,209
369,1,164
370,136,0
371,1,44
372,1,156
373,2,223
374,1,216
375,1,66
376,2,185
377,1,73
378,1,116
379,1,22
380,1,94
381,1,94
382,1,5
383,77,0
384,1,186
385,1,168
386,1,81
387,1,184
388,1,229
389,2,172
390,1,67
391,1,175
392,142,0
393,1,32
394,1,150
395,1,120
396,1,104
397,2,35
398,1,24
399,1,208
400,5,145
401,1,90
402,140,0
403,1,82
404,1,128
405,1,50
406,1,145
407,1,160
408,1,17
409,2,115
410,1,116
411,2,80
412,2,35
413,2,195
414,1,95
415,2,39
416,1,195
417,1,223
418,2,18
419,1,119
420,1,116
421,1,34
422,1,62
423,1,40
424,1,6
425,1,52
426,1,206
427,1,6
428,1,12
429,204,0
430,1,134
431,1,209
432,1,5
433,1,225
434,1,26
435,1,177
436,1,138
437,1,50
438,1,231
439,1,19
440,1,24
441,1,11
442,1,50
443,1,161
444,208,0
445,200,0
446,1,152
447,232,0
448,3,10
449,52,0
450,221,0
451,1,128
452,1,121
453,1,156
454,1,30
455,1,134
456,1,195
457,1,221
458,2,229
459,1,75
460,1,220
461,1,43
462,1,51
463,1,174
464,1,77
465,1,68
466,2,118
467,2,118
468,1,165
469,1,176
470,1,181
471,2,227
472,1,151
473,1,219
474,1,52
475,1,185
476,1,206
477,179,0
478,1,200
479,1,81
480,199,0
481,1,212
482,2,216
483,2,75
484,1,12
485,1,126
486,2,162
487,1,12
488,1,59
489,1,157
490,1,117
491,1,214
492,1,23
493,2,100
494,1,145
495,1,43
496,1,19
497,1,168
498,1,58
499,3,54
500,1,36
501,1,78
502,1,157
503,1,199
504,1,118
505,1,48
506,1,51
507,1,174
508,1,183
509,1,186
510,1,211
511,1,226
512,1,113
513,2,40
514,2,22
515,2,187
516,1,94
517,1,145
518,1,99
519,1,95
520,127,0
521,1,94
522,1,61
523,2,148
524,1,5
525,1,151
526,1,224
527,1,205
528,3,88
529,1,175
530,1,33
531,1,60
532,112,0
533,1,76
534,1,223
535,1,60
536,1,36
537,2,125
538,1,3
539,1,78
540,1,195
541,1,184
542,1,67
543,1,106
544,2,42
545,1,195
546,1,173
547,1,99
548,1,143
549,1,165
550,1,74
551,1,233
552,2,154
553,2,34
554,1,56
555,2,17
556,1,101
557,1,133
558,1,2
559,1,81
560,2,103
561,1,40
562,1,222
563,1,49
564,1,184
565,1,205
566,1,74
567,1,209
568,1,31
569,121,0
570,1,135
571,1,187
572,1,97
573,1,103
574,1,61
575,1,150
576,1,21
577,1,163
578,2,73
579,1,55
580,1,196
581,1,59
582,1,23
583,1,160
584,1,130
585,1,74
586,1,93
587,1,40
588,1,156
589,1,182
590,1,58
591,1,129
592,1,76
593,1,18
594,1,137
595,1,93
596,1,120
597,1,176
598,1,113
599,1,47
600,1,206
601,1,49
602,1,31
603,1,214
604,1,140
605,1,63
606,1,149
