index,moves,overall_moves
0,1,15
1,1,70
2,2,59
3,1,95
4,1,70
5,2,55
6,1,59
7,1,119
8,1,68
9,1,77
10,1,73
11,1,48
12,1,12
13,1,31
14,1,62
15,3,8
16,1,96
17,1,43
18,1,45
19,1,48
20,1,82
21,1,42
22,1,118
23,1,54
24,1,45
25,2,122
26,1,102
27,1,91
28,1,36
29,1,132
30,1,4
31,1,32
32,2,109
33,2,123
34,1,23
35,1,98
36,1,97
37,1,106
38,1,46
39,1,61
40,2,34
41,1,27
42,1,42
43,1,123
44,1,47
45,2,127
46,1,109
47,1,97
48,1,26
49,1,64
50,1,76
51,1,91
52,2,15
53,1,63
54,1,37
55,1,24
56,1,72
57,1,21
58,1,36
59,1,20
60,1,17
61,1,44
62,1,131
63,1,82
64,1,111
65,1,40
66,1,122
67,1,89
68,3,101
69,1,43
70,1,59
71,1,45
72,1,42
73,1,101
74,1,99
75,1,104
76,1,78
77,1,78
78,1,19
79,1,7
80,1,40
81,53,0
82,2,67
83,2,88
84,1,88
85,1,50
86,1,57
87,1,83
88,1,93
89,1,43
90,2,117
91,1,73
92,1,58
93,1,132
94,1,98
95,1,20
96,1,87
97,1,38
98,1,90
99,1,74
100,1,104
101,1,86
102,1,75
103,1,36
104,1,126
105,1,60
106,1,89
107,1,124
108,2,124
109,1,101
110,1,129
111,1,46
112,1,81
113,1,17
114,1,108
115,1,91
116,1,61
117,1,33
118,1,4
119,1,114
120,1,93
121,1,40
122,1,72
123,1,102
124,1,2
125,3,96
126,1,38
127,1,21
128,1,87
129,1,121
130,1,93
131,1,117
132,2,43
133,1,51
134,2,33
135,1,110
136,1,84
137,2,92
138,1,122
139,1,126
140,1,103
141,1,24
142,1,105
143,1,107
144,1,42
145,1,89
146,1,51
147,1,75
148,1,52
149,1,123
150,2,70
151,1,19
152,1,25
153,1,23
154,1,13
155,1,20
156,1,27
157,1,18
158,1,29
159,1,123
160,1,25
161,57,0
162,1,59
163,1,99
164,1,44
165,2,124
166,1,91
167,1,102
168,1,44
169,1,39
170,1,77
171,1,5
172,1,42
173,1,44
174,1,57
175,1,128
176,1,120
177,75,0
178,1,19
179,1,84
180,1,76
181,1,40
182,109,0
183,79,0
184,1,108
185,1,43
186,1,104
187,1,71
188,1,71
189,1,68
190,116,0
191,1,102
192,1,60
193,1,73
194,1,52
195,1,117
196,1,38
197,1,56
198,1,99
199,1,101
200,1,31
201,2,16
202,1,106
203,1,101
204,1,92
205,1,41
206,1,82
207,1,120
208,1,53
209,1,59
210,1,18
211,1,100
212,1,79
213,1,107
214,1,90
215,1,72
216,2,21
217,1,53
218,101,0
219,1,35
220,1,6
221,1,119
222,1,40
223,1,22
224,1,82
225,1,123
226,1,30
227,1,44
228,1,106
229,2,98
