index,moves,overall_moves
0,1,5
1,1,19
2,1,19
3,1,28
4,1,23
5,1,25
6,1,19
7,1,31
8,1,18
9,1,19
10,1,25
11,1,18
12,1,5
13,1,17
14,2,18
15,3,0
16,1,29
17,1,19
18,1,15
19,1,20
20,1,20
21,1,16
22,1,27
23,1,24
24,1,18
25,1,30
26,1,26
27,1,25
28,1,14
29,1,28
30,1,1
31,1,19
32,1,31
33,1,29
34,1,12
35,1,26
36,1,29
37,1,31
38,1,18
39,1,22
40,1,13
41,1,11
42,1,14
43,1,30
44,1,19
45,1,39
46,1,28
47,1,34
48,1,16
49,1,19
50,1,25
51,1,25
52,1,9
53,1,20
54,1,16
55,1,13
56,1,25
57,1,8
58,1,16
59,1,12
60,1,10
61,1,14
62,1,31
63,1,22
64,1,28
65,1,17
66,1,30
67,1,29
68,1,25
69,1,15
70,1,18
71,1,16
72,1,14
73,1,28
74,1,28
75,1,28
76,1,21
77,1,24
78,1,10
79,1,8
80,1,15
81,1,21
82,1,18
83,1,25
84,1,21
85,1,18
86,1,16
87,1,21
88,1,29
89,1,14
90,1,29
91,1,24
92,1,24
93,1,29
94,1,33
95,1,11
96,1,23
97,1,13
98,1,23
99,1,25
100,1,28
101,1,22
102,1,23
103,1,15
104,1,32
105,1,18
106,1,28
107,1,29
108,1,31
109,23,0
110,1,33
111,1,16
112,1,23
113,1,6
114,1,31
115,1,30
116,1,18
117,1,15
118,1,3
119,1,29
120,1,31
121,1,15
122,1,22
123,1,29
124,1,1
125,1,26
126,1,12
127,1,11
128,1,22
129,1,29
130,1,32
131,1,34
132,1,14
133,1,18
134,1,12
135,1,28
136,1,25
137,1,29
138,1,27
139,1,33
140,1,30
141,1,15
142,1,27
143,1,31
144,1,17
145,1,25
146,1,19
147,1,27
148,1,17
149,1,31
150,1,25
151,1,9
152,1,14
153,1,12
154,1,4
155,1,10
156,1,17
157,1,12
158,1,14
159,1,33
160,1,17
161,1,17
162,1,18
163,1,27
164,1,15
165,1,30
166,1,26
167,1,29
168,1,17
169,1,14
170,1,22
171,1,5
172,1,16
173,1,14
174,1,20
175,1,29
176,1,27
177,1,20
178,1,5
179,1,19
180,1,25
181,1,14
182,1,30
183,1,20
184,1,31
185,1,15
186,1,31
187,1,19
188,1,20
189,1,20
190,1,30
191,1,26
192,1,20
193,1,23
194,1,19
195,1,28
196,1,15
197,1,23
198,1,29
199,1,29
200,1,16
201,1,12
202,1,26
203,1,33
204,1,25
205,1,16
206,1,20
207,1,28
208,1,17
209,1,18
210,1,8
211,1,26
212,1,21
213,1,33
214,1,25
215,1,20
216,1,10
217,1,22
218,1,29
219,1,15
220,1,6
221,2,30
222,1,13
223,1,12
224,1,23
225,1,29
226,2,12
227,1,18
228,1,29
229,1,24
230,1,34
231,1,20
232,1,13
233,1,19
234,1,29
235,3,9
236,1,28
237,1,16
238,1,25
239,1,12
240,1,29
241,1,18
242,1,29
243,1,19
244,1,23
245,1,29
246,1,16
247,1,10
248,1,21
249,1,19
250,1,26
251,1,16
252,1,13
253,1,12
254,1,27
255,1,21
256,7,22
257,1,31
258,1,32
259,1,30
260,1,13
261,1,23
262,1,14
263,1,6
264,1,18
265,1,17
266,1,24
267,1,10
268,1,27
269,1,27
270,1,15
271,1,14
272,1,20
273,1,21
274,1,13
275,1,23
276,1,17
277,1,19
278,1,30
279,1,26
280,1,20
281,1,20
282,1,30
283,9,0
284,1,9
285,1,4
286,1,14
287,1,31
288,1,32
289,1,24
290,1,15
291,1,25
292,1,3
293,1,19
294,1,27
295,1,28
296,1,13
297,28,0
298,1,23
299,1,30
300,1,26
301,1,23
302,1,11
303,1,16
304,1,31
305,1,20
306,2,18
307,1,24
308,1,24
309,1,14
310,1,27
311,1,28
312,1,3
313,1,33
314,1,19
315,1,28
316,1,26
317,1,35
318,1,35
319,14,0
320,1,17
321,1,6
322,1,25
323,1,19
324,1,17
325,1,24
326,1,26
327,1,8
328,1,24
329,1,29
330,1,16
331,1,6
332,1,21
333,1,27
334,1,32
335,1,9
336,1,15
337,2,12
338,1,30
339,1,26
340,1,29
341,1,24
342,1,23
343,1,25
344,17,0
345,1,29
346,1,32
347,1,28
348,1,27
349,1,8
350,1,27
351,1,27
352,1,25
353,1,34
354,6,0
355,1,21
356,2,18
357,1,13
358,1,13
359,1,26
360,1,19
361,2,14
362,1,28
363,1,1
364,1,25
365,1,26
366,1,29
367,1,13
368,1,29
369,1,27
370,1,24
371,1,15
372,1,30
373,1,32
374,2,30
375,1,20
376,1,33
377,1,17
378,1,24
379,1,12
380,1,21
381,1,20
382,1,3
383,2,20
384,1,32
385,1,30
386,1,16
387,1,32
388,2,36
389,1,27
390,1,22
391,1,29
392,2,26
393,1,11
394,1,31
395,1,24
396,1,23
397,1,15
398,1,14
399,1,28
400,1,30
401,1,19
402,1,24
403,1,19
404,1,21
405,1,15
406,1,28
407,2,30
408,1,8
409,1,27
410,1,19
411,1,16
412,1,14
413,1,26
414,1,20
415,1,10
416,1,30
417,1,29
418,1,11
419,1,23
420,1,25
421,1,14
422,2,13
423,1,15
424,1,2
425,1,14
426,1,27
427,1,3
428,1,7
429,1,30
430,1,24
431,1,29
432,1,7
433,1,33
434,1,11
435,1,28
436,1,24
437,1,18
438,1,37
439,1,12
440,1,9
441,1,6
442,1,14
443,1,27
444,1,28
445,1,29
446,1,29
447,1,34
448,1,7
449,1,18
450,1,33
451,1,18
452,1,18
453,2,26
454,1,12
455,1,22
456,1,31
457,1,28
458,1,33
459,1,21
460,1,31
461,1,16
462,1,14
463,1,30
464,1,19
465,1,18
466,1,20
467,1,22
468,1,29
469,1,34
470,1,29
471,1,32
472,1,32
