index,moves,overall_moves
0,256,0
1,1701,0
2,1491,0
3,2582,0
4,1821,0
5,1449,0
6,1578,0
7,3105,0
8,1686,0
9,2002,0
10,1842,0
11,1281,0
12,196,0
13,677,0
14,1620,0
15,165,0
16,2561,0
17,1169,0
18,1154,0
19,1316,0
20,2066,0
21,1024,0
22,3143,0
23,1403,0
24,1062,0
25,3330,0
26,2891,0
27,2428,0
28,793,0
29,3536,0
30,30,0
31,709,0
32,2973,0
33,3344,0
34,491,0
35,2716,0
36,2580,0
37,2949,0
38,1211,0
39,1416,0
40,774,0
41,583,0
42,947,0
43,3396,0
44,1200,0
45,3717,0
46,3038,0
47,2578,0
48,529,0
49,1555,0
50,1902,0
51,2407,0
52,304,0
53,1647,0
54,833,0
55,502,0
56,1829,0
57,290,0
58,796,0
59,350,0
60,273,0
61,981,0
62,3587,0
63,2104,0
64,3018,0
65,848,0
66,3195,0
67,2441,0
68,2693,0
69,926,0
70,1503,0
71,1124,0
72,970,0
73,2730,0
74,2735,0
75,2763,0
76,2069,0
77,2020,0
78,401,0
79,100,0
80,1011,0
81,1397,0
82,1687,0
83,2417,0
84,2187,0
85,1293,0
86,1455,0
87,2133,0
88,2522,0
89,937,0
90,3165,0
91,1974,0
92,1437,0
93,3569,0
94,2593,0
95,394,0
96,2256,0
97,789,0
98,2301,0
99,1855,0
100,2709,0
101,2189,0
102,1948,0
103,829,0
104,3677,0
105,1571,0
106,2426,0
107,3403,0
108,3216,0
109,2636,0
110,3723,0
111,1059,0
112,2036,0
113,275,0
114,2984,0
115,2474,0
116,1570,0
117,666,0
118,124,0
119,3109,0
120,2463,0
121,893,0
122,1721,0
123,2782,0
124,25,0
125,2652,0
126,810,0
127,410,0
128,2275,0
129,3178,0
130,2530,0
131,3092,0
132,978,0
133,1294,0
134,747,0
135,3017,0
136,2226,0
137,2508,0
138,3385,0
139,3627,0
140,2876,0
141,526,0
142,2827,0
143,2969,0
144,1116,0
145,2404,0
146,1295,0
147,1929,0
148,1266,0
149,3411,0
150,1862,0
151,328,0
152,571,0
153,492,0
154,171,0
155,382,0
156,530,0
157,404,0
158,650,0
159,3322,0
160,536,0
161,1524,0
162,1509,0
163,2717,0
164,1127,0
165,3407,0
166,2414,0
167,2731,0
168,1156,0
169,814,0
170,2018,0
171,85,0
172,877,0
173,977,0
174,1530,0
175,3227,0
176,3190,0
177,1985,0
178,283,0
179,2121,0
180,2001,0
181,959,0
182,3035,0
183,2079,0
184,2984,0
185,1068,0
186,2677,0
187,1705,0
188,1754,0
189,1678,0
190,3260,0
191,2844,0
192,1603,0
193,1781,0
