N;MergeSort1;MergeSort2;
100000;0.009;0.009;
150000;0.014;0.014;
200000;0.019;0.02;
250000;0.023;0.023;
300000;0.029;0.029;
350000;0.034;0.034;
400000;0.039;0.039;
450000;0.045;0.044;
500000;0.05;0.049;
550000;0.055;0.055;
600000;0.061;0.06;
650000;0.066;0.065;
700000;0.071;0.069;
750000;0.077;0.075;
800000;0.081;0.082;
850000;0.087;0.085;
900000;0.092;0.09;
950000;0.099;0.096;
