N;MergeSort1;MergeSort2;
100000;0.009;0.009;
150000;0.014;0.015;
200000;0.019;0.019;
250000;0.023;0.023;
300000;0.027;0.028;
350000;0.034;0.034;
400000;0.039;0.039;
450000;0.044;0.044;
500000;0.049;0.05;
550000;0.054;0.055;
600000;0.06;0.059;
650000;0.065;0.064;
700000;0.068;0.068;
750000;0.073;0.073;
800000;0.078;0.079;
850000;0.083;0.084;
900000;0.088;0.088;
950000;0.093;0.094;
