N;MergeSort1;MergeSort2;
100000;0.009;0.009;
150000;0.013;0.014;
200000;0.018;0.019;
250000;0.023;0.023;
300000;0.028;0.028;
350000;0.033;0.033;
400000;0.038;0.039;
450000;0.043;0.043;
500000;0.049;0.048;
550000;0.055;0.055;
600000;0.06;0.059;
650000;0.064;0.064;
700000;0.069;0.069;
750000;0.074;0.073;
800000;0.08;0.079;
850000;0.084;0.084;
900000;0.089;0.091;
950000;0.107;0.096;
