N,Ломуто,Хоара,Бентли,SmoothSort,HeapSort
1000,8.5000000000000006e-05,7.2999999999999999e-05,5.3000000000000001e-05,0.000174,0.000107
2000,0.000165,0.000121,9.0000000000000006e-05,0.00037399999999999998,0.000234
3000,0.00021599999999999999,0.00018599999999999999,0.000137,0.00058699999999999996,0.00037199999999999999
4000,0.00031799999999999998,0.00025999999999999998,0.000202,0.000803,0.00051500000000000005
5000,0.000406,0.00032200000000000002,0.00024699999999999999,0.001044,0.00067500000000000004
6000,0.00050799999999999999,0.00040299999999999998,0.00030499999999999999,0.0012639999999999999,0.00081300000000000003
7000,0.00063400000000000001,0.00056599999999999999,0.00035820000000000003,0.0014970000000000001,0.00096299999999999999
8000,0.00066399999999999999,0.00056300000000000002,0.00041399999999999998,0.0017750000000000001,0.0011199999999999999
9000,0.00075799999999999999,0.00063500000000000004,0.000475,0.0019819999999999998,0.0012769999999999999
10000,0.00088800000000000001,0.000718,0.00054299999999999997,0.0022169999999999998,0.001433
11000,0.00093199999999999999,0.00077300000000000003,0.00060599999999999998,0.0024759999999999999,0.0015969999999999999
12000,0.001078,0.00085800000000000004,0.00066299999999999996,0.0027230000000000002,0.001758
13000,0.001124,0.00093099999999999997,0.000718,0.002993,0.00192
14000,0.0012509999999999999,0.00098999999999999999,0.00078299999999999995,0.003274,0.0020799999999999998
15000,0.0013879999999999999,0.0010820000000000001,0.00083900000000000001,0.003496,0.002248
16000,0.0014109999999999999,0.001176,0.00092199999999999997,0.0037429999999999998,0.0024099999999999998
17000,0.001567,0.001248,0.000959,0.0040029999999999996,0.0025850000000000001
18000,0.00166,0.001325,0.0010189999999999999,0.0042760000000000003,0.0027539999999999999
19000,0.001712,0.0013849999999999999,0.001096,0.0045370000000000002,0.0029190000000000002
20000,0.0018569999999999999,0.001469,0.0011460000000000001,0.0047619999999999997,0.0030929999999999998
21000,0.001877,0.00156,0.001209,0.0050559999999999997,0.0032629999999999998
22000,0.001977,0.0016329999999999999,0.001312,0.0053049999999999998,0.0034580000000000001
23000,0.002183,0.0017149999999999999,0.0013489999999999999,0.0056350000000000003,0.0036419999999999998
24000,0.0022290000000000001,0.0018029999999999999,0.0014009999999999999,0.0058700000000000002,0.003797
25000,0.0022369999999999998,0.001874,0.0015009999999999999,0.0061029999999999999,0.0039839999999999997
26000,0.0024320000000000001,0.0019729999999999999,0.0015629999999999999,0.0064599999999999996,0.0041650000000000003
27000,0.0024039999999999999,0.0020170000000000001,0.001619,0.0066689999999999996,0.0043319999999999999
28000,0.0027829999999999999,0.002068,0.0016720000000000001,0.006914,0.0044980000000000003
29000,0.0027169999999999998,0.0021320000000000002,0.001776,0.0071970000000000003,0.004666
30000,0.0028059999999999999,0.002271,0.0018220000000000001,0.0074749999999999999,0.0048450000000000003
31000,0.0029849999999999998,0.0023029999999999999,0.0018860000000000001,0.0082279999999999992,0.0050289999999999996
32000,0.0029840000000000001,0.0024390000000000002,0.0019840000000000001,0.0081189999999999995,0.0052160000000000002
33000,0.003163,0.002503,0.0020430000000000001,0.0082959999999999996,0.0054390000000000003
34000,0.0031870000000000002,0.0025569999999999998,0.002111,0.008541,0.0055719999999999997
35000,0.0032780000000000001,0.0026510000000000001,0.0021570000000000001,0.0088400000000000006,0.005751
36000,0.0033310000000000002,0.0027179999999999999,0.0022369999999999998,0.0091039999999999992,0.00594
37000,0.0034740000000000001,0.0028159999999999999,0.0022629999999999998,0.0094970000000000002,0.0061289999999999999
38000,0.0035669999999999999,0.0028879999999999999,0.002362,0.0096710000000000008,0.0062880000000000002
39000,0.003718,0.0029849999999999998,0.0024190000000000001,0.0099699999999999997,0.0064729999999999996
40000,0.0038609999999999998,0.0030200000000000001,0.0025230000000000001,0.010231000000000001,0.0066470000000000001
41000,0.0042220000000000001,0.0030829999999999998,0.0025669999999999998,0.01055,0.0068409999999999999
42000,0.003934,0.0032179999999999999,0.002611,0.010763999999999999,0.0070260000000000001
43000,0.004019,0.0032859999999999999,0.0026359999999999999,0.011117,0.0073239999999999998
44000,0.0042700000000000004,0.0033279999999999998,0.0027750000000000001,0.011410999999999999,0.0074070000000000004
45000,0.0046379999999999998,0.0034129999999999998,0.002833,0.011802999999999999,0.0075820000000000002
46000,0.0043249999999999999,0.0035490000000000001,0.0028869999999999998,0.012071999999999999,0.0077669999999999996
47000,0.0045139999999999998,0.0036099999999999999,0.002967,0.01223,0.007953
48000,0.004594,0.0036879999999999999,0.0030660000000000001,0.012478,0.0081270000000000005
49000,0.004849,0.0037230000000000002,0.0030530000000000002,0.012815,0.0083079999999999994
50000,0.0048399999999999997,0.0038530000000000001,0.003176,,
